Re,field,ratio_mean_abs,ratio_l2,alpha_origin,alpha,intercept,R2
210,pressure,0.4057032766666891,0.4065167550985503,0.40629995388723184,0.7652930469901316,-7.098486052883756,0.8914010970572225
210,x-velocity,1.4914011353051573,0.9962837752982875,0.9962008335294599,0.9962006689949582,-3.06345776705857e-07,0.9998334838093057
210,y-velocity,1.0494511951494174,1.0019469100470235,1.0018692336588235,1.0018692327155712,1.1471522768421247e-07,0.9998449551448984
220,pressure,0.4359280119353717,0.4367711517768045,0.43656288122201137,0.781012149435004,-6.339292227667021,0.8997504556866647
220,x-velocity,1.0779771806273666,0.9963653132191752,0.9963189782463708,0.9963187835104533,-3.631473581370408e-07,0.999906982733128
220,y-velocity,1.0436113902711792,0.9992224372042482,0.999174002160768,0.9991740013622957,9.428534440374796e-08,0.9999030569086763
230,pressure,0.4586518578087626,0.45950945143759664,0.4593083582011875,0.7897401937632277,-5.780490534199286,0.903128624637613
230,x-velocity,1.072551540065754,0.9965558674426854,0.9965089576109062,0.9965087662585251,-3.572524374436784e-07,0.9999058467465927
230,y-velocity,1.040488761098868,0.9993345169829965,0.9992859820372508,0.9992859811741601,9.978544411483563e-08,0.9999028678560365
240,pressure,0.4709066952940444,0.4717643415973456,0.47156694479782796,0.7909272204112642,-5.441696472619151,0.9010145221984401
240,x-velocity,1.2443902626570178,0.9968924533469132,0.9967949461546238,0.9967948009413813,-2.712793068321466e-07,0.9998043628557423
240,y-velocity,1.0624655515078538,1.0026015491937248,1.0025134234504005,1.002513422226588,1.3993740285193297e-07,0.9998242136348686
250,pressure,0.4974384050016246,0.49830741332682743,0.49811928981962794,0.8010683300506629,-4.887240762110048,0.9059583258012324
250,x-velocity,1.1132603616464234,0.9970390804525788,0.9969649588578802,0.9969648052319331,-2.8737394008644745e-07,0.9998513036294665
250,y-velocity,1.0405837575906254,1.001563808884149,1.0014937316960753,1.00149373048691,1.35103898174632e-07,0.999860069405959
260,pressure,0.5270605238941105,0.5279363605917079,0.527759352868361,0.8119286056081888,-4.327169075518135,0.9116167384252876
260,x-velocity,1.0656333575031525,0.9971487528135147,0.9970983971463353,0.9970982275469717,-3.1770802319979996e-07,0.9998989908217122
260,y-velocity,1.0410322641996714,0.9999413043038211,0.9998905355958587,0.9998905344591689,1.2391610997095038e-07,0.9998984592469385
270,pressure,0.5432041875854664,0.5440744244144465,0.5439029419298875,0.8146877749407493,-4.001118052267791,0.911308586041888
270,x-velocity,1.1257742312349586,0.9974386229007614,0.9973613116955812,0.9973611691915206,-2.6715401963363774e-07,0.9998449673102827
270,y-velocity,1.0513422047473673,1.0018233679873538,1.0017510446944198,1.0017510433064576,1.493658242393624e-07,0.9998556219545158
280,pressure,0.5603425645019534,0.561204937244602,0.561039348542026,0.8178364082202628,-3.678683649305701,0.9114234043736009
280,x-velocity,1.1945110399298204,0.9977151862267233,0.9976004368793846,0.9976003151613152,-2.2836764063603957e-07,0.9997699603676513
280,y-velocity,1.0594814759057776,1.0033379445526043,1.0032368008929846,1.0032367992772921,1.7156568589394363e-07,0.9997983959042172
290,pressure,0.5979813675857335,0.5988306003987872,0.5986803530895239,0.8303320226149287,-3.110160012020902,0.9188578073950018
290,x-velocity,1.5122291959406462,0.9977397424608346,0.997688480663825,0.9976883099096587,-3.209143678655515e-07,0.9998972342152983
